,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000087912.jpg,1,white bus,2,full_sample,1555372973780,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A bridge in the distance.,bottom right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top left,top right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A bridge in the distance.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: A bridge in the distance.? ASSISTANT: top right</s></s>', 'USER: wrong, A bridge in the distance. is referring to top left.']"
1,1,0,COCO_val2014_000000335119.jpg,1,bus behind a fence,4,full_sample,1555372990346,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,bottom right,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A tall building in the distance. is referring to bottom left.']"
2,2,0,COCO_val2014_000000376677.jpg,1,not a bus,3,full_sample,1555373006072,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top right,bottom left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
3,3,0,COCO_val2014_000000579036.jpg,1,red bus,2,full_sample,1555373016623,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A bridge in the distance.,top left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom right,top left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A bridge in the distance.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A bridge in the distance.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the distance. is referring to bottom right.']"
4,4,1,COCO_val2014_000000335119.jpg,1,bus behind a fence,4,full_sample,1555373032476,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: top left</s></s>', 'USER: wrong, A tall building in the distance. is referring to bottom left.']"
5,5,1,COCO_val2014_000000579036.jpg,1,red bus,2,full_sample,1555373041937,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,top left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom right,top right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: top right</s></s>', 'USER: wrong, A bridge in the distance. is referring to bottom right.']"
6,6,1,COCO_val2014_000000087912.jpg,1,white bus,2,full_sample,1555373051640,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,bottom right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top left,top left,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: top left</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000376677.jpg,1,not a bus,3,full_sample,1555373063146,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top right,bottom left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
8,8,2,COCO_val2014_000000579036.jpg,1,red bus,2,full_sample,1555373073738,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A bridge in the distance.,top left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: A bridge in the distance.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A bridge in the distance.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the distance. is referring to bottom right.']"
9,9,2,COCO_val2014_000000335119.jpg,1,behind a fence,3,full_sample,1555373086530,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: top right</s></s>', 'USER: wrong, A tall building in the distance. is referring to bottom left.']"
10,10,2,COCO_val2014_000000087912.jpg,1,white,1,full_sample,1555373096369,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall building in the distance.,bottom right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top left,top left,"['\nRound 11', '\nTarget: bottom right. Message: ASSISTANT: A tall building in the distance.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 11', '\nWhich image is this message referring to: A tall building in the distance.? ASSISTANT: top left</s></s>', 'USER: correct.']"
