,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000376677.jpg,1,Dirty truck going towards the bridge.,6,full_sample,1556315205162,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom left.']"
1,1,0,COCO_val2014_000000087912.jpg,1,Clean bus exiting the bridge.,5,full_sample,1556315228367,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,top left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom right,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: wrong, A bus on the road. is referring to bottom right.']"
2,2,0,COCO_val2014_000000335119.jpg,1,Graffiti truck with the fence.,5,full_sample,1556315252869,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top right,bottom left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
3,3,0,COCO_val2014_000000579036.jpg,1,Graffiti bus no fence.,4,full_sample,1556315278957,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top left,top left,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000335119.jpg,1,graffiti bus fence,3,full_sample,1556315292952,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top right,bottom left,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
5,5,1,COCO_val2014_000000376677.jpg,1,dirty truck going to bridge,5,full_sample,1556315309500,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom left,top left,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom left.']"
6,6,1,COCO_val2014_000000579036.jpg,1,grafitti truck not in fence,5,full_sample,1556315322598,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top left,top right,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top right</s></s>', 'USER: wrong, A bus on the road. is referring to top left.']"
7,7,1,COCO_val2014_000000087912.jpg,1,bus exiting bridge - clean,5,full_sample,1556315337177,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom right,top right,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top right</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom right.']"
8,8,2,COCO_val2014_000000335119.jpg,1,grafitti truck - fence,4,full_sample,1556315354839,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top right,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
9,9,2,COCO_val2014_000000376677.jpg,1,"how is this even guessing, it's so easy, dirty truck going to bridge",13,full_sample,1556315372243,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom left,top left,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom left.']"
10,10,2,COCO_val2014_000000087912.jpg,1,clean truck leaving bridge,4,full_sample,1556315383725,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom right,top right,"['\nRound 11', '\nTarget: top left. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 11', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top right</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom right.']"
11,11,2,COCO_val2014_000000579036.jpg,1,grafitti truck - no fence,5,full_sample,1556315395385,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top left,top left,"['\nRound 12', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 12', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: correct.']"
12,12,3,COCO_val2014_000000335119.jpg,1,grafitti truck - fence,4,full_sample,1556315406925,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top right,bottom left,"['\nRound 13', '\nTarget: bottom right. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 13', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
13,13,3,COCO_val2014_000000579036.jpg,1,grafitti truck - no fence,5,full_sample,1556315419065,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top left,top left,"['\nRound 14', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 14', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: correct.']"
14,14,3,COCO_val2014_000000376677.jpg,1,dirty truck,2,full_sample,1556315431315,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom left,top right,"['\nRound 15', '\nTarget: top right. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 15', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top right</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom left.']"
15,15,3,COCO_val2014_000000087912.jpg,1,clean truck leaving bridge,4,full_sample,1556315441650,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom right,top left,"['\nRound 16', '\nTarget: top left. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 16', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom right.']"
16,16,4,COCO_val2014_000000579036.jpg,1,grafitti - no fence,4,full_sample,1556315455667,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom left,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top left,top left,"['\nRound 17', '\nTarget: bottom left. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 17', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: top left</s></s>', 'USER: correct.']"
17,17,4,COCO_val2014_000000335119.jpg,1,grafitti - fence,3,full_sample,1556315469664,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bus on the road.,bottom right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",top right,bottom left,"['\nRound 18', '\nTarget: bottom right. Message: ASSISTANT: A bus on the road.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 18', '\nWhich image is this message referring to: A bus on the road.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bus on the road. is referring to top right.']"
18,18,4,COCO_val2014_000000376677.jpg,1,dirty truck,2,full_sample,1556315478175,target,True,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg']",A bridge in the background.,top right,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",bottom left,top left,"['\nRound 19', '\nTarget: top right. Message: ASSISTANT: A bridge in the background.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 19', '\nWhich image is this message referring to: A bridge in the background.? ASSISTANT: top left</s></s>', 'USER: wrong, A bridge in the background. is referring to bottom left.']"
