,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000124712.jpg,29,a little boy standing with bat in hand,8,full_sample,1555374841661,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter swinging at a pitch.,bottom right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top right,top left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: Batter swinging at a pitch.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: Batter swinging at a pitch.? ASSISTANT: top left</s></s>', 'USER: wrong, Batter swinging at a pitch. is referring to top right.']"
1,1,0,COCO_val2014_000000377588.jpg,29,someone on the ground sliding,5,full_sample,1555374865622,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Pitcher throwing a ball.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: Pitcher throwing a ball.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: Pitcher throwing a ball.? ASSISTANT: top left</s></s>', 'USER: wrong, Pitcher throwing a ball. is referring to bottom left.']"
2,2,0,COCO_val2014_000000541123.jpg,29,tennis,1,full_sample,1555374880491,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Baseball player running to first base.,top left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom right,bottom right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: Baseball player running to first base.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: Baseball player running to first base.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374909305,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Catcher catching a ball.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,top right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: Catcher catching a ball.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: Catcher catching a ball.? ASSISTANT: top right</s></s>', 'USER: wrong, Catcher catching a ball. is referring to top left.']"
4,4,1,COCO_val2014_000000377588.jpg,29,sliding,1,full_sample,1555374922807,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter waiting for a pitch.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top right,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Batter waiting for a pitch.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: Batter waiting for a pitch.? ASSISTANT: top right</s></s>', 'USER: wrong, Batter waiting for a pitch. is referring to bottom left.']"
5,5,1,COCO_val2014_000000541123.jpg,29,tennis,1,full_sample,1555374937006,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Baseball player sliding into home plate.,top left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom right,bottom right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Baseball player sliding into home plate.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: Baseball player sliding into home plate.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000124712.jpg,29,"boy holding bat, white shirt",5,full_sample,1555374956060,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter waiting for a pitch.,bottom right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top right,top left,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: Batter waiting for a pitch.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: Batter waiting for a pitch.? ASSISTANT: top left</s></s>', 'USER: wrong, Batter swinging at a pitch. is referring to top right.']"
7,7,1,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374971120,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Catcher catching a ball.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,top left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: Catcher catching a ball.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: Catcher catching a ball.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000377588.jpg,29,sliding,1,full_sample,1555374980726,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Pitcher throwing a ball.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: Pitcher throwing a ball.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: Pitcher throwing a ball.? ASSISTANT: top left</s></s>', 'USER: wrong, Pitcher throwing a ball. is referring to bottom left.']"
9,9,2,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374994943,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Catcher catching a ball.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: Catcher catching a ball.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: Catcher catching a ball.? ASSISTANT: top right</s></s>', 'USER: wrong, Catcher catching a ball. is referring to top left.']"
