,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000347253.jpg,31,plane beside long black walkway and behind truck,8,full_sample,1555373119665,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Luggage cart on the tarmac.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,bottom left,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: Luggage cart on the tarmac.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: Luggage cart on the tarmac.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Luggage cart on the tarmac. is referring to top left.']"
1,1,0,COCO_val2014_000000036492.jpg,31,grey walkway right up against plane,6,full_sample,1555373144565,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Passengers boarding the plane.,top left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top right,bottom right,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: Passengers boarding the plane.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: Passengers boarding the plane.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Passengers boarding the plane. is referring to top right.']"
2,2,0,COCO_val2014_000000283498.jpg,31,"dark picture, van in front of plane",7,full_sample,1555373173557,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Stairs leading to the plane.,top right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom right,top left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: Stairs leading to the plane.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: Stairs leading to the plane.? ASSISTANT: top left</s></s>', 'USER: wrong, Stairs leading to the plane. is referring to bottom right.']"
3,3,0,COCO_val2014_000000267521.jpg,31,only see back of plane,5,full_sample,1555373195897,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Baggage carousel at the airport.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,bottom left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: Baggage carousel at the airport.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: Baggage carousel at the airport.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000347253.jpg,31,plane behind truck and beside black walkway,7,full_sample,1555373233036,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Luggage cart on the tarmac.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Luggage cart on the tarmac.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: Luggage cart on the tarmac.? ASSISTANT: top left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000036492.jpg,31,plane right up against grey walkway,6,full_sample,1555373253500,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Passengers boarding the plane.,top left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top right,top right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Passengers boarding the plane.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: Passengers boarding the plane.? ASSISTANT: top right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000283498.jpg,31,dark picture plane behind van,5,full_sample,1555373273648,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Stairs leading to the plane.,top right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: Stairs leading to the plane.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: Stairs leading to the plane.? ASSISTANT: top left</s></s>', 'USER: wrong, Stairs leading to the plane. is referring to bottom right.']"
7,7,1,COCO_val2014_000000267521.jpg,31,back of plane,3,full_sample,1555373288709,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Baggage carousel at the airport.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,bottom left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: Baggage carousel at the airport.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: Baggage carousel at the airport.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000347253.jpg,31,"black walkway, plane behind truck",5,full_sample,1555373307093,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Luggage cart on the tarmac.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: Luggage cart on the tarmac.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: Luggage cart on the tarmac.? ASSISTANT: top left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000267521.jpg,31,back of plane,3,full_sample,1555373320394,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Baggage carousel at the airport.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,bottom left,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: Baggage carousel at the airport.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: Baggage carousel at the airport.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
10,10,2,COCO_val2014_000000036492.jpg,31,grey walkway up to plane,5,full_sample,1555373337076,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",Passengers boarding the plane.,top left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top right,top right,"['\nRound 11', '\nTarget: top left. Message: ASSISTANT: Passengers boarding the plane.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 11', '\nWhich image is this message referring to: Passengers boarding the plane.? ASSISTANT: top right</s></s>', 'USER: correct.']"
