,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000376677.jpg,1,Dirty truck going towards the bridge.,6,full_sample,1556315205162,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A heavy-duty truck carrying a crane.,bottom left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: A heavy-duty truck carrying a crane.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A heavy-duty truck carrying a crane.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A large truck carrying a crane. is referring to top right.']"
1,1,0,COCO_val2014_000000087912.jpg,1,Clean bus exiting the bridge.,5,full_sample,1556315228367,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large crane lifting a bridge beam.,bottom right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top left,top left,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: A large crane lifting a bridge beam.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: A large crane lifting a bridge beam.? ASSISTANT: top left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000335119.jpg,1,Graffiti truck with the fence.,5,full_sample,1556315252869,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall skyscraper with a bridge in front of it.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,bottom left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: A tall skyscraper with a bridge in front of it.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A tall skyscraper with a bridge in front of it.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000579036.jpg,1,Graffiti bus no fence.,4,full_sample,1556315278957,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A double-decker bus on a city street.,top left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom right,bottom right,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A double-decker bus on a city street.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: A double-decker bus on a city street.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000335119.jpg,1,graffiti bus fence,3,full_sample,1556315292952,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large crane lifting a bridge beam.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: A large crane lifting a bridge beam.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: A large crane lifting a bridge beam.? ASSISTANT: top left</s></s>', 'USER: wrong, A large crane lifting a bridge beam. is referring to bottom left.']"
5,5,1,COCO_val2014_000000376677.jpg,1,dirty truck going to bridge,5,full_sample,1556315309500,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large truck carrying a crane.,bottom left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top right,bottom right,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: A large truck carrying a crane.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A large truck carrying a crane.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A heavy-duty truck carrying a crane. is referring to top right.']"
6,6,1,COCO_val2014_000000579036.jpg,1,grafitti truck not in fence,5,full_sample,1556315322598,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large crane lifting a bridge beam.,top left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: A large crane lifting a bridge beam.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A large crane lifting a bridge beam.? ASSISTANT: top left</s></s>', 'USER: wrong, A double-decker bus on a city street. is referring to bottom right.']"
7,7,1,COCO_val2014_000000087912.jpg,1,bus exiting bridge - clean,5,full_sample,1556315337177,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large crane lifting a bridge beam.,bottom right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top left,top left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: A large crane lifting a bridge beam.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: A large crane lifting a bridge beam.? ASSISTANT: top left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000335119.jpg,1,grafitti truck - fence,4,full_sample,1556315354839,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A tall skyscraper with a suspension bridge in front of it.,top right,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",bottom left,bottom left,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: A tall skyscraper with a suspension bridge in front of it.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: A tall skyscraper with a suspension bridge in front of it.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000376677.jpg,1,"how is this even guessing, it's so easy, dirty truck going to bridge",13,full_sample,1556315372243,target,True,"['COCO_val2014_000000579036.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000087912.jpg']",A large truck carrying a crane.,bottom left,"['COCO_val2014_000000087912.jpg', 'COCO_val2014_000000376677.jpg', 'COCO_val2014_000000335119.jpg', 'COCO_val2014_000000579036.jpg']",top right,bottom right,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: A large truck carrying a crane.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A large truck carrying a crane.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A large truck carrying a crane. is referring to top right.']"
