,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000331727.jpg,3,says chs on back,4,pilot0,1555353842499,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,bottom right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A child skiing down a snowy hill. is referring to top right.']"
1,1,0,COCO_val2014_000000396542.jpg,3,red backpack,2,pilot0,1555353853334,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A woman in a blue jacket skiing down a snowy hill.,top right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A woman in a blue jacket skiing down a snowy hill.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: A woman in a blue jacket skiing down a snowy hill.? ASSISTANT: top left</s></s>', 'USER: wrong, A woman in a blue jacket skiing down a snowy hill. is referring to bottom left.']"
2,2,0,COCO_val2014_000000241638.jpg,3,yellow hat,2,pilot0,1555353866708,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,bottom left,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",top left,bottom right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A child in a pink jacket skiing down a snowy hill. is referring to top left.']"
3,3,0,COCO_val2014_000000249687.jpg,3,kid,1,pilot0,1555353876148,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,top left,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",bottom right,bottom right,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000331727.jpg,3,chs,1,pilot0,1555353885029,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,bottom right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",top right,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A young child learning to ski on a snowy hill. is referring to top right.']"
5,5,1,COCO_val2014_000000249687.jpg,3,kid,1,pilot0,1555353892566,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,top left,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",bottom right,bottom right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000241638.jpg,3,yellow cap,2,pilot0,1555353901944,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski.,bottom left,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",top left,bottom right,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: A young child learning to ski.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: A young child learning to ski.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A young child learning to ski on a snowy hill. is referring to top left.']"
7,7,1,COCO_val2014_000000396542.jpg,3,red backpack,2,pilot0,1555353911119,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,top right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",bottom left,bottom right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A woman in a blue jacket skiing down a snowy hill. is referring to bottom left.']"
8,8,2,COCO_val2014_000000331727.jpg,3,chs,1,pilot0,1555353919908,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,bottom right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",top right,bottom right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A young child learning to ski on a snowy hill. is referring to top right.']"
9,9,2,COCO_val2014_000000396542.jpg,3,red backpack,2,pilot0,1555353931574,target,True,"['COCO_val2014_000000249687.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg']",A young child learning to ski on a snowy hill.,top right,"['COCO_val2014_000000241638.jpg', 'COCO_val2014_000000331727.jpg', 'COCO_val2014_000000396542.jpg', 'COCO_val2014_000000249687.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A young child learning to ski on a snowy hill.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A young child learning to ski on a snowy hill.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A young child learning to ski on a snowy hill. is referring to bottom left.']"
