,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000050962.jpg,14,guy with yellow shirt,4,full_sample,1556314735223,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']","People on a boat, enjoying a day out on the water.",bottom right,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",bottom right,bottom left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: People on a boat, enjoying a day out on the water.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: People on a boat, enjoying a day out on the water.? ASSISTANT: bottom left</s></s>', 'USER: wrong, People on a boat. is referring to bottom right.']"
1,1,0,COCO_val2014_000000092644.jpg,14,picture with most people,4,full_sample,1556314760034,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,bottom left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",top right,top right,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: top right</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000435308.jpg,14,guy might be doing a flip,6,full_sample,1556314779923,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person parasailing over a lake.,top left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",bottom left,top left,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: A person parasailing over a lake.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A person parasailing over a lake.? ASSISTANT: top left</s></s>', 'USER: wrong, A person parasailing over a lake. is referring to bottom left.']"
3,3,0,COCO_val2014_000000111909.jpg,14,guy off the boat has a blue lifejacket thing,9,full_sample,1556314805484,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,top right,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",top left,bottom right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A person water skiing on a lake. is referring to top left.']"
4,4,1,COCO_val2014_000000092644.jpg,14,picture with the most people,5,full_sample,1556314829765,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,bottom left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",top right,top right,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: top right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000050962.jpg,14,yellow shirt,2,full_sample,1556314844377,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,bottom right,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",bottom right,bottom left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A person water skiing on a lake. is referring to bottom right.']"
6,6,1,COCO_val2014_000000435308.jpg,14,doing a flip,3,full_sample,1556314856211,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,top left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",bottom left,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: top left</s></s>', 'USER: wrong, A person parasailing over a lake. is referring to bottom left.']"
7,7,1,COCO_val2014_000000111909.jpg,14,blue lifejacket,2,full_sample,1556314865665,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,top right,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",top left,bottom right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A person water skiing on a lake. is referring to top left.']"
8,8,2,COCO_val2014_000000435308.jpg,14,half flip,2,full_sample,1556314876051,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,top left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",bottom left,top right,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: top right</s></s>', 'USER: wrong, A person water skiing on a lake. is referring to bottom left.']"
9,9,2,COCO_val2014_000000092644.jpg,14,most people,2,full_sample,1556314886547,target,True,"['COCO_val2014_000000435308.jpg', 'COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000050962.jpg']",A person water skiing on a lake.,bottom left,"['COCO_val2014_000000111909.jpg', 'COCO_val2014_000000092644.jpg', 'COCO_val2014_000000435308.jpg', 'COCO_val2014_000000050962.jpg']",top right,top left,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: A person water skiing on a lake.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: A person water skiing on a lake.? ASSISTANT: top left</s></s>', 'USER: wrong, A person water skiing on a lake. is referring to top right.']"
