,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000344758.jpg,26,fruit is in a bowl with pictures of fruit on it,11,full_sample,1556322386174,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bunch of bananas in a bowl.,top right,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",top left,top left,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: A bunch of bananas in a bowl.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: A bunch of bananas in a bowl.? ASSISTANT: top left</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000353558.jpg,26,top-down view brown swatch in top left corner,8,full_sample,1556322452986,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,bottom left,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",bottom right,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: top left</s></s>', 'USER: wrong, A bowl of fruit. is referring to bottom right.']"
2,2,0,COCO_val2014_000000198367.jpg,26,colorful circles on orange background,5,full_sample,1556322491077,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,top left,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",bottom left,bottom right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bowl of fruit. is referring to bottom left.']"
3,3,0,COCO_val2014_000000337247.jpg,26,amazon box,2,full_sample,1556322508395,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bunch of bananas on a table.,bottom right,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",top right,top left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: A bunch of bananas on a table.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: A bunch of bananas on a table.? ASSISTANT: top left</s></s>', 'USER: wrong, A bunch of bananas on a table. is referring to top right.']"
4,4,1,COCO_val2014_000000353558.jpg,26,top-down view brown swatch in top left corner,8,full_sample,1556322563322,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,bottom left,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",bottom right,bottom left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bowl of fruit. is referring to bottom right.']"
5,5,1,COCO_val2014_000000198367.jpg,26,colorful dots on orange background,5,full_sample,1556322588089,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,top left,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",bottom left,bottom right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bowl of fruit. is referring to bottom left.']"
6,6,1,COCO_val2014_000000337247.jpg,26,amazon box,2,full_sample,1556322603054,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bunch of bananas on a table.,bottom right,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",top right,top right,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: A bunch of bananas on a table.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A bunch of bananas on a table.? ASSISTANT: top right</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000344758.jpg,26,fruit in bowl with picture of fruit on the side,10,full_sample,1556322634054,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,top right,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bowl of fruit. is referring to top left.']"
8,8,2,COCO_val2014_000000337247.jpg,26,amazon box,2,full_sample,1556322647227,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bunch of bananas on a table.,bottom right,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",top right,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A bunch of bananas on a table.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: A bunch of bananas on a table.? ASSISTANT: top left</s></s>', 'USER: wrong, A bunch of bananas on a table. is referring to top right.']"
9,9,2,COCO_val2014_000000198367.jpg,26,colorful dots on orange background,5,full_sample,1556322673560,target,True,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000337247.jpg']",A bowl of fruit.,top left,"['COCO_val2014_000000344758.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000198367.jpg', 'COCO_val2014_000000353558.jpg']",bottom left,bottom left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
