,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000337247.jpg,26,"The photo with 'amazon' on the back, with 2 bananas",10,full_sample,1555373833208,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top right,top right,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000198367.jpg,26,Photo with a bowl of 3 bananas with a pokadot background,11,full_sample,1555373867465,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bowl of fruit.,bottom right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top left,bottom left,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bowl of fruit. is referring to top left.']"
2,2,0,COCO_val2014_000000344758.jpg,26,"A bowl full of mixed fruit, black background",8,full_sample,1555373897279,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,bottom left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom right.']"
3,3,0,COCO_val2014_000000353558.jpg,26,Photo with a bowl of 3 bananas with stripes and other patterns in the background,15,full_sample,1555373934952,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom left,top right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom left.']"
4,4,1,COCO_val2014_000000337247.jpg,26,Amazon in back with 2 bananas,6,full_sample,1555373954481,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top right,top right,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000353558.jpg,26,3 bananas with stripes and other patterns in the background,10,full_sample,1555373975447,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom left,top right,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom left.']"
6,6,1,COCO_val2014_000000198367.jpg,26,3 bananas with a pokadot background,6,full_sample,1555373989271,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bowl of fruit.,bottom right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top left,bottom left,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bowl of fruit. is referring to top left.']"
7,7,1,COCO_val2014_000000344758.jpg,26,"mixed fruit, black background",4,full_sample,1555373998727,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,bottom left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom right,top right,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom right.']"
8,8,2,COCO_val2014_000000198367.jpg,26,3 bananas with a pokadot background,6,full_sample,1555374009153,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bowl of fruit.,bottom right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top left,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: top left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000337247.jpg,26,Amazon in back with 2 bananas,6,full_sample,1555374020648,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top right,top right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: correct.']"
10,10,2,COCO_val2014_000000344758.jpg,26,"mixed fruit, black background",4,full_sample,1555374031503,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,bottom left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom right,top right,"['\nRound 11', '\nTarget: bottom left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 11', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom right.']"
11,11,2,COCO_val2014_000000353558.jpg,26,3 bananas with stripes and other patterns in the background,10,full_sample,1555374040881,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom left,top right,"['\nRound 12', '\nTarget: top right. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 12', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom left.']"
12,12,3,COCO_val2014_000000198367.jpg,26,pokadot background,2,full_sample,1555374055359,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bowl of fruit.,bottom right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top left,top left,"['\nRound 13', '\nTarget: bottom right. Message: ASSISTANT: A bowl of fruit.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 13', '\nWhich image is this message referring to: A bowl of fruit.? ASSISTANT: top left</s></s>', 'USER: correct.']"
13,13,3,COCO_val2014_000000353558.jpg,26,stripes and other patterns,4,full_sample,1555374069832,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top right,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",bottom left,top right,"['\nRound 14', '\nTarget: top right. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 14', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: wrong, A bunch of bananas. is referring to bottom left.']"
14,14,3,COCO_val2014_000000337247.jpg,26,Amazon in back with 2 bananas,6,full_sample,1555374080729,target,True,"['COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg', 'COCO_val2014_000000198367.jpg']",A bunch of bananas.,top left,"['COCO_val2014_000000198367.jpg', 'COCO_val2014_000000337247.jpg', 'COCO_val2014_000000353558.jpg', 'COCO_val2014_000000344758.jpg']",top right,top right,"['\nRound 15', '\nTarget: top left. Message: ASSISTANT: A bunch of bananas.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 15', '\nWhich image is this message referring to: A bunch of bananas.? ASSISTANT: top right</s></s>', 'USER: correct.']"
