,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000124712.jpg,29,a little boy standing with bat in hand,8,full_sample,1555374841661,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,bottom right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top right,bottom left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Batter at home plate. is referring to top right.']"
1,1,0,COCO_val2014_000000377588.jpg,29,someone on the ground sliding,5,full_sample,1555374865622,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Pitcher on the mound.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: Pitcher on the mound.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: Pitcher on the mound.? ASSISTANT: top left</s></s>', 'USER: wrong, Pitcher on the mound. is referring to bottom left.']"
2,2,0,COCO_val2014_000000541123.jpg,29,tennis,1,full_sample,1555374880491,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,top left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: top right</s></s>', 'USER: wrong, Batter at home plate. is referring to bottom right.']"
3,3,0,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374909305,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,bottom left,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Batter at home plate. is referring to top left.']"
4,4,1,COCO_val2014_000000377588.jpg,29,sliding,1,full_sample,1555374922807,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Pitcher on the mound.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Pitcher on the mound.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: Pitcher on the mound.? ASSISTANT: top left</s></s>', 'USER: wrong, Pitcher on the mound. is referring to bottom left.']"
5,5,1,COCO_val2014_000000541123.jpg,29,tennis,1,full_sample,1555374937006,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,top left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom right,top right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: top right</s></s>', 'USER: wrong, Batter at home plate. is referring to bottom right.']"
6,6,1,COCO_val2014_000000124712.jpg,29,"boy holding bat, white shirt",5,full_sample,1555374956060,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,bottom right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top right,top left,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: top left</s></s>', 'USER: wrong, Batter at home plate. is referring to top right.']"
7,7,1,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374971120,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Batter at home plate. is referring to top left.']"
8,8,2,COCO_val2014_000000377588.jpg,29,sliding,1,full_sample,1555374980726,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Pitcher on the mound.,bottom left,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",bottom left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: Pitcher on the mound.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: Pitcher on the mound.? ASSISTANT: top left</s></s>', 'USER: wrong, Pitcher on the mound. is referring to bottom left.']"
9,9,2,COCO_val2014_000000102478.jpg,29,"black shirt, batting",3,full_sample,1555374994943,target,True,"['COCO_val2014_000000541123.jpg', 'COCO_val2014_000000102478.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000124712.jpg']",Batter at home plate.,top right,"['COCO_val2014_000000102478.jpg', 'COCO_val2014_000000124712.jpg', 'COCO_val2014_000000377588.jpg', 'COCO_val2014_000000541123.jpg']",top left,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: Batter at home plate.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: Batter at home plate.? ASSISTANT: top right</s></s>', 'USER: wrong, Batter at home plate. is referring to top left.']"
