,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000347253.jpg,31,plane beside long black walkway and behind truck,8,full_sample,1555373119665,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is parked at the gate.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: The plane is parked at the gate.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: The plane is parked at the gate.? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The plane is parked at the gate."" is referring to top left.']"
1,1,0,COCO_val2014_000000036492.jpg,31,grey walkway right up against plane,6,full_sample,1555373144565,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is on the runway.,top left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top right,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: The plane is on the runway.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: The plane is on the runway.? ASSISTANT: top left</s></s>', 'USER: wrong, The plane is on the runway. is referring to top right.']"
2,2,0,COCO_val2014_000000283498.jpg,31,"dark picture, van in front of plane",7,full_sample,1555373173557,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is being loaded with luggage.,top right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom right,bottom left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: The plane is being loaded with luggage.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: The plane is being loaded with luggage.? ASSISTANT: bottom left</s></s>', 'USER: wrong, The plane is being loaded with luggage. is referring to bottom right.']"
3,3,0,COCO_val2014_000000267521.jpg,31,only see back of plane,5,full_sample,1555373195897,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is being unloaded from the gate.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,top right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: The plane is being unloaded from the gate.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 4', '\nWhich image is this message referring to: The plane is being unloaded from the gate.? ASSISTANT: top right</s></s>', 'USER: wrong, The plane is being unloaded from the gate. is referring to bottom left.']"
4,4,1,COCO_val2014_000000347253.jpg,31,plane behind truck and beside black walkway,7,full_sample,1555373233036,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is parked at the gate.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: The plane is parked at the gate.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: The plane is parked at the gate.? ASSISTANT: top left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000036492.jpg,31,plane right up against grey walkway,6,full_sample,1555373253500,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is on the runway.,top left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top right,top left,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: The plane is on the runway.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: The plane is on the runway.? ASSISTANT: top left</s></s>', 'USER: wrong, The plane is on the runway. is referring to top right.']"
6,6,1,COCO_val2014_000000283498.jpg,31,dark picture plane behind van,5,full_sample,1555373273648,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is being loaded with luggage.,top right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom right,bottom left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: The plane is being loaded with luggage.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: The plane is being loaded with luggage.? ASSISTANT: bottom left</s></s>', 'USER: wrong, The plane is being loaded with luggage. is referring to bottom right.']"
7,7,1,COCO_val2014_000000267521.jpg,31,back of plane,3,full_sample,1555373288709,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is being unloaded from the gate.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,top right,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: The plane is being unloaded from the gate.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: The plane is being unloaded from the gate.? ASSISTANT: top right</s></s>', 'USER: wrong, The plane is being unloaded from the gate. is referring to bottom left.']"
8,8,2,COCO_val2014_000000347253.jpg,31,"black walkway, plane behind truck",5,full_sample,1555373307093,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is parked at the gate.,bottom left,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",top left,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: The plane is parked at the gate.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: The plane is parked at the gate.? ASSISTANT: top left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000267521.jpg,31,back of plane,3,full_sample,1555373320394,target,True,"['COCO_val2014_000000036492.jpg', 'COCO_val2014_000000283498.jpg', 'COCO_val2014_000000347253.jpg', 'COCO_val2014_000000267521.jpg']",The plane is being unloaded from the gate.,bottom right,"['COCO_val2014_000000347253.jpg', 'COCO_val2014_000000036492.jpg', 'COCO_val2014_000000267521.jpg', 'COCO_val2014_000000283498.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: The plane is being unloaded from the gate.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: The plane is being unloaded from the gate.? ASSISTANT: bottom right</s></s>', 'USER: wrong, The plane is being unloaded from the gate. is referring to bottom left.']"
