,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000014592.jpg,33,The monkey biting the bottle.,5,full_sample,1556321153790,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top left.']"
1,1,0,COCO_val2014_000000360318.jpg,33,The baby monkey eating on a rocky cliff.,8,full_sample,1556321180120,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom left.']"
2,2,0,COCO_val2014_000000460732.jpg,33,The monkey sitting on sand.,5,full_sample,1556321204230,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,bottom left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom right.']"
3,3,0,COCO_val2014_000000045387.jpg,33,The monkey sitting on hay or dry grass.,8,full_sample,1556321229667,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,bottom right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",top right,top left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top right.']"
4,4,1,COCO_val2014_000000360318.jpg,33,The baby monkey on the rocky cliff.,7,full_sample,1556321248811,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",bottom left,bottom left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000460732.jpg,33,The monkey sitting on sand.,5,full_sample,1556321262740,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,bottom left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",bottom right,top left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom right.']"
6,6,1,COCO_val2014_000000045387.jpg,33,The monkey sitting on dry grass.,6,full_sample,1556321278111,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,bottom right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",top right,top right,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top right</s></s>', 'USER: correct.']"
7,7,1,COCO_val2014_000000014592.jpg,33,The monkey biting the bottle.,5,full_sample,1556321289952,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top left.']"
8,8,2,COCO_val2014_000000360318.jpg,33,The baby monkey on the rocky cliff.,7,full_sample,1556321313116,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top left,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",bottom left,top left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top left</s></s>', 'USER: wrong, A monkey eating a banana. is referring to bottom left.']"
9,9,2,COCO_val2014_000000014592.jpg,33,The monkey biting the bottle.,5,full_sample,1556321324844,target,True,"['COCO_val2014_000000360318.jpg', 'COCO_val2014_000000014592.jpg', 'COCO_val2014_000000460732.jpg', 'COCO_val2014_000000045387.jpg']",A monkey eating a banana.,top right,"['COCO_val2014_000000014592.jpg', 'COCO_val2014_000000045387.jpg', 'COCO_val2014_000000360318.jpg', 'COCO_val2014_000000460732.jpg']",top left,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A monkey eating a banana.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: A monkey eating a banana.? ASSISTANT: top right</s></s>', 'USER: wrong, A monkey eating a banana. is referring to top left.']"
