,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000140076.jpg,35,Click on the one with the painting.,7,full_sample,1556316094859,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Mirror in top right corner.""",top right,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",bottom left,top right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: ""Mirror in top right corner.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: ""Mirror in top right corner.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The mirror in the top right corner."" is referring to bottom left.']"
1,1,0,COCO_val2014_000000290477.jpg,35,Click on the one with the large green plant.,9,full_sample,1556316111767,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",bottom right,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top left,bottom right,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Candle on the table."" is referring to top left.']"
2,2,0,COCO_val2014_000000213224.jpg,35,Click on the one with the two bouquets in vases.,10,full_sample,1556316130088,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Vase with flowers on table.""",bottom left,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",bottom right,bottom right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: ""Vase with flowers on table.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""Vase with flowers on table.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000166401.jpg,35,Click on the bathroom.,4,full_sample,1556316141261,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Lamp in top left corner.""",top left,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top right,top left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: ""Lamp in top left corner.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: ""Lamp in top left corner.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""Lamp in top left corner."" is referring to top right.']"
4,4,1,COCO_val2014_000000213224.jpg,35,Two bouquets in vases.,4,full_sample,1556316155699,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Vase with flowers on table.""",bottom left,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",bottom right,bottom right,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: ""Vase with flowers on table.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""Vase with flowers on table.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000290477.jpg,35,Large green plant.,3,full_sample,1556316166555,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",bottom right,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top left,bottom right,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Candle on the table."" is referring to top left.']"
6,6,1,COCO_val2014_000000166401.jpg,35,Bathroom.,1,full_sample,1556316180545,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",top left,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top right,bottom right,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Lamp in top left corner."" is referring to top right.']"
7,7,1,COCO_val2014_000000140076.jpg,35,Painting on wall.,3,full_sample,1556316201270,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",top right,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",bottom left,bottom right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Mirror in top right corner."" is referring to bottom left.']"
8,8,2,COCO_val2014_000000166401.jpg,35,Bathroom.,1,full_sample,1556316210448,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",top left,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top right,bottom right,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Candle on the table."" is referring to top right.']"
9,9,2,COCO_val2014_000000290477.jpg,35,Large green plant.,3,full_sample,1556316224540,target,True,"['COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg', 'COCO_val2014_000000290477.jpg']","""Candle on the table.""",bottom right,"['COCO_val2014_000000290477.jpg', 'COCO_val2014_000000166401.jpg', 'COCO_val2014_000000140076.jpg', 'COCO_val2014_000000213224.jpg']",top left,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""Candle on the table.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: ""Candle on the table.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Candle on the table."" is referring to top left.']"
