,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000161044.jpg,38,Two planes are flying on the sky,7,full_sample,1555374102787,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,top left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000455943.jpg,38,the plane flying on the white background,7,full_sample,1555374152220,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft ascending into the sky.,top right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top left,top left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: Aircraft ascending into the sky.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: Aircraft ascending into the sky.? ASSISTANT: top left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000551650.jpg,38,the plane flying so far,5,full_sample,1555374203924,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,bottom right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top right,bottom right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Aircraft gliding through the clouds. is referring to top right.']"
3,3,0,COCO_val2014_000000419074.jpg,38,the plane was in landing position,6,full_sample,1555374252264,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft gliding through the clouds.,bottom left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom left,top right,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: Aircraft gliding through the clouds.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: Aircraft gliding through the clouds.? ASSISTANT: top right</s></s>', 'USER: wrong, Aircraft ascending into the sky. is referring to bottom left.']"
4,4,1,COCO_val2014_000000161044.jpg,38,two planes are flying,4,full_sample,1555374272027,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,top left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom right,bottom right,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000551650.jpg,38,the plane flying so far,5,full_sample,1555374293895,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,bottom right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top right,bottom right,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Aircraft gliding through the clouds. is referring to top right.']"
6,6,1,COCO_val2014_000000455943.jpg,38,the plane was flying on the whit background,8,full_sample,1555374337472,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,top right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top left,bottom right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Aircraft ascending into the sky. is referring to top left.']"
7,7,1,COCO_val2014_000000419074.jpg,38,the plane was flying in the landing position,8,full_sample,1555374380814,distr1,False,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,bottom left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom left,bottom right,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Aircraft gliding through the clouds. is referring to bottom left.']"
8,8,2,COCO_val2014_000000455943.jpg,38,the plane flying on the white background,7,full_sample,1555374437646,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft gliding through the clouds.,top right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top left,top right,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: Aircraft gliding through the clouds.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: Aircraft gliding through the clouds.? ASSISTANT: top right</s></s>', 'USER: wrong, Aircraft soaring in the expanse. is referring to top left.']"
9,9,2,COCO_val2014_000000161044.jpg,38,two planes are flying,4,full_sample,1555374484487,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,top left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom right,top left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: top left</s></s>', 'USER: wrong, Aircraft soaring in the expanse. is referring to bottom right.']"
10,10,2,COCO_val2014_000000419074.jpg,38,the plane was in landing position,6,full_sample,1555374514773,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,bottom left,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",bottom left,bottom right,"['\nRound 11', '\nTarget: bottom left. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 11', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Aircraft soaring in the expanse. is referring to bottom left.']"
11,11,2,COCO_val2014_000000551650.jpg,38,the plane flying so far,5,full_sample,1555374539178,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,bottom right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top right,bottom left,"['\nRound 12', '\nTarget: bottom right. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 12', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Aircraft soaring in the expanse. is referring to top right.']"
12,12,3,COCO_val2014_000000455943.jpg,38,the plane was flying on white background,7,full_sample,1555374590973,target,True,"['COCO_val2014_000000161044.jpg', 'COCO_val2014_000000455943.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000551650.jpg']",Aircraft soaring in the expanse.,top right,"['COCO_val2014_000000455943.jpg', 'COCO_val2014_000000551650.jpg', 'COCO_val2014_000000419074.jpg', 'COCO_val2014_000000161044.jpg']",top left,top right,"['\nRound 13', '\nTarget: top right. Message: ASSISTANT: Aircraft soaring in the expanse.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 13', '\nWhich image is this message referring to: Aircraft soaring in the expanse.? ASSISTANT: top right</s></s>', 'USER: wrong, Aircraft soaring in the expanse. is referring to top left.']"
