,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000549789.jpg,40,There is a person laying on the ground below the skier jumping in the air.,15,full_sample,1555373166426,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier jumping in the air.,bottom left,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: Skier jumping in the air.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: Skier jumping in the air.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skier jumping in the air. is referring to bottom left.']"
1,1,0,COCO_val2014_000000195974.jpg,40,Snowboarder is wearing a red jacket.,6,full_sample,1555373189850,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier holding a flag.,top left,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",top right,top right,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: Skier holding a flag.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: Skier holding a flag.? ASSISTANT: top right</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000033958.jpg,40,Skier is wearing a blue jacket.,6,full_sample,1555373204327,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier jumping in the air.,top right,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",top left,bottom left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: Skier jumping in the air.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: Skier jumping in the air.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skier doing a trick in the air. is referring to top left.']"
3,3,0,COCO_val2014_000000196442.jpg,40,Skier looks like they're dressed in all black.  Skis are stretched out.,12,full_sample,1555373249256,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,bottom right,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",bottom right,top left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier jumping in the air. is referring to bottom right.']"
4,4,1,COCO_val2014_000000033958.jpg,40,Skier has a blue jacket.,5,full_sample,1555373265497,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,top right,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",top left,top left,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000195974.jpg,40,Skier has a red jacket.,5,full_sample,1555373278880,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,top left,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",top right,top left,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier holding a flag. is referring to top right.']"
6,6,1,COCO_val2014_000000196442.jpg,40,Skier dressed in black with skis stretched out.,8,full_sample,1555373301848,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,bottom right,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier doing a trick in the air. is referring to bottom right.']"
7,7,1,COCO_val2014_000000549789.jpg,40,Person laying on the ground beneath skier.,7,full_sample,1555373323267,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier jumping in the air.,bottom left,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",bottom left,bottom left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: Skier jumping in the air.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: Skier jumping in the air.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000196442.jpg,40,Skier dressed in black with skies stretched out.,8,full_sample,1555373351024,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,bottom right,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier doing a trick in the air. is referring to bottom right.']"
9,9,2,COCO_val2014_000000195974.jpg,40,Snowboarder dressed in red.,4,full_sample,1555373375480,target,True,"['COCO_val2014_000000195974.jpg', 'COCO_val2014_000000033958.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",Skier doing a trick in the air.,top left,"['COCO_val2014_000000033958.jpg', 'COCO_val2014_000000195974.jpg', 'COCO_val2014_000000549789.jpg', 'COCO_val2014_000000196442.jpg']",top right,top left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: Skier doing a trick in the air.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: Skier doing a trick in the air.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier holding a flag. is referring to top right.']"
