,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000027272.jpg,41,"it's the bear laying lower in the field, closer frame",10,full_sample,1555373247341,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top right,bottom left,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top right.']"
1,1,0,COCO_val2014_000000174457.jpg,41,purple flowers,2,full_sample,1555373287278,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top left,top right,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top left.']"
2,2,0,COCO_val2014_000000452263.jpg,41,"farther away, partially concealed by grass, no flowers",8,full_sample,1555373320375,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom left,top left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom left.']"
3,3,0,COCO_val2014_000000083773.jpg,41,bear in center on rocks,5,full_sample,1555373342563,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom right.']"
4,4,1,COCO_val2014_000000027272.jpg,41,"crouched down in grass, closer frame",6,full_sample,1555373371701,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top right,bottom right,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top right.']"
5,5,1,COCO_val2014_000000452263.jpg,41,"farther away, partially concealed by grass, no flowers",8,full_sample,1555373386619,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom left,top right,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom left.']"
6,6,1,COCO_val2014_000000083773.jpg,41,"center, on rocks",3,full_sample,1555373396668,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom right,bottom left,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom right.']"
7,7,1,COCO_val2014_000000174457.jpg,41,purple flowers,2,full_sample,1555373409767,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top left,bottom right,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top left.']"
8,8,2,COCO_val2014_000000027272.jpg,41,"crouched down, closer frame",4,full_sample,1555373421760,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top right,top left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top right.']"
9,9,2,COCO_val2014_000000083773.jpg,41,on rocks,2,full_sample,1555373430434,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom right,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom right.']"
10,10,2,COCO_val2014_000000452263.jpg,41,"farther away, partially concealed by grass, no flowers",8,full_sample,1555373440941,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom left,bottom right,"['\nRound 11', '\nTarget: bottom right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 11', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom left.']"
11,11,2,COCO_val2014_000000174457.jpg,41,purple flowers,2,full_sample,1555373451913,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top left,bottom left,"['\nRound 12', '\nTarget: bottom left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 12', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top left.']"
12,12,3,COCO_val2014_000000083773.jpg,41,rocks,1,full_sample,1555373462232,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom right,top left,"['\nRound 13', '\nTarget: top right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 13', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom right.']"
13,13,3,COCO_val2014_000000452263.jpg,41,"farther away, partially concealed by grass, no flowers",8,full_sample,1555373472748,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom right,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",bottom left,bottom right,"['\nRound 14', '\nTarget: bottom right. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 14', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to bottom left.']"
14,14,3,COCO_val2014_000000027272.jpg,41,"closer frame, crouched down in grass",6,full_sample,1555373490885,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,top left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top right,bottom left,"['\nRound 15', '\nTarget: top left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 15', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top right.']"
15,15,3,COCO_val2014_000000174457.jpg,41,purple flowers,2,full_sample,1555373500695,target,True,"['COCO_val2014_000000027272.jpg', 'COCO_val2014_000000083773.jpg', 'COCO_val2014_000000174457.jpg', 'COCO_val2014_000000452263.jpg']",A bear walking in the grass.,bottom left,"['COCO_val2014_000000174457.jpg', 'COCO_val2014_000000027272.jpg', 'COCO_val2014_000000452263.jpg', 'COCO_val2014_000000083773.jpg']",top left,top right,"['\nRound 16', '\nTarget: bottom left. Message: ASSISTANT: A bear walking in the grass.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 16', '\nWhich image is this message referring to: A bear walking in the grass.? ASSISTANT: top right</s></s>', 'USER: wrong, A bear walking in the grass. is referring to top left.']"
