,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000408534.jpg,44,the picture with the kite at the top visibly,9,full_sample,1555375510930,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,top right,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Man surfing on a wave. is referring to top left.']"
1,1,0,COCO_val2014_000000317070.jpg,44,The surfer guy has air in the background behind him and he's holding the board,15,full_sample,1555375550021,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man parasailing over the ocean.,top left,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",bottom left,top right,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: Man parasailing over the ocean.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: Man parasailing over the ocean.? ASSISTANT: top right</s></s>', 'USER: wrong, Man parasailing over the ocean. is referring to bottom left.']"
2,2,0,COCO_val2014_000000272958.jpg,44,"Very close up of the surfer, closer than all the others",11,full_sample,1555375575140,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom right,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",bottom right,top left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top left</s></s>', 'USER: wrong, Man surfing on a wave. is referring to bottom right.']"
3,3,0,COCO_val2014_000000339676.jpg,44,Surfer is upright and jumping over the wave. Another person at the bottom of the pic also,17,full_sample,1555375608742,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom left,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",top right,top left,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top left</s></s>', 'USER: wrong, Man surfing on a wave. is referring to top right.']"
4,4,1,COCO_val2014_000000408534.jpg,44,Kite is visible,3,full_sample,1555375627531,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,top right,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",top left,top right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top right</s></s>', 'USER: wrong, Man surfing on a wave. is referring to top left.']"
5,5,1,COCO_val2014_000000272958.jpg,44,close up,2,full_sample,1555375640452,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom right,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",bottom right,top left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top left</s></s>', 'USER: wrong, Man surfing on a wave. is referring to bottom right.']"
6,6,1,COCO_val2014_000000339676.jpg,44,person at bottom,3,full_sample,1555375651916,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom left,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",top right,top left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top left</s></s>', 'USER: wrong, Man surfing on a wave. is referring to top right.']"
7,7,1,COCO_val2014_000000317070.jpg,44,air in background,3,full_sample,1555375669626,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man parasailing over the ocean.,top left,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",bottom left,bottom left,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: Man parasailing over the ocean.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: Man parasailing over the ocean.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000272958.jpg,44,close up,2,full_sample,1555375679864,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom right,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top left</s></s>', 'USER: wrong, Man surfing on a wave. is referring to bottom right.']"
9,9,2,COCO_val2014_000000339676.jpg,44,person at bottom,3,full_sample,1555375691476,target,True,"['COCO_val2014_000000317070.jpg', 'COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000272958.jpg']",Man surfing on a wave.,bottom left,"['COCO_val2014_000000408534.jpg', 'COCO_val2014_000000339676.jpg', 'COCO_val2014_000000317070.jpg', 'COCO_val2014_000000272958.jpg']",top right,top right,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: Man surfing on a wave.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: Man surfing on a wave.? ASSISTANT: top right</s></s>', 'USER: correct.']"
