,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000068740.jpg,47,Blue boy with numbers,4,full_sample,1556323276714,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A blue fire hydrant.,bottom right,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",top left,top left,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A blue fire hydrant.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: A blue fire hydrant.? ASSISTANT: top left</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000483941.jpg,47,Red and white long boy,5,full_sample,1556323290736,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A red and white fire hydrant.,top right,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",bottom left,bottom left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A red and white fire hydrant.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A red and white fire hydrant.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000453390.jpg,47,Red and yellow short boy,5,full_sample,1556323305268,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A yellow and white fire hydrant.,top left,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",top right,bottom right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: A yellow and white fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: A yellow and white fire hydrant.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A yellow and white fire hydrant. is referring to top right.']"
3,3,0,COCO_val2014_000000359843.jpg,47,Solid red long boy,4,full_sample,1556323319626,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A blue fire hydrant.,bottom left,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",bottom right,top left,"['\nRound 4', '\nTarget: bottom left. Message: ASSISTANT: A blue fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A blue fire hydrant.? ASSISTANT: top left</s></s>', 'USER: wrong, A red and yellow fire hydrant. is referring to bottom right.']"
4,4,1,COCO_val2014_000000068740.jpg,47,Blue boy with numbers,4,full_sample,1556323337153,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A red and yellow fire hydrant.,bottom right,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",top left,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A red and yellow fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: A red and yellow fire hydrant.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A red and white fire hydrant. is referring to top left.']"
5,5,1,COCO_val2014_000000453390.jpg,47,Red and yellow boy,4,full_sample,1556323350524,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A red and yellow fire hydrant.,top left,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",top right,bottom right,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: A red and yellow fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: A red and yellow fire hydrant.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A yellow and white fire hydrant. is referring to top right.']"
6,6,1,COCO_val2014_000000483941.jpg,47,Red and white,3,full_sample,1556323359187,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A red and yellow fire hydrant.,top right,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",bottom left,bottom right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A red and yellow fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: A red and yellow fire hydrant.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A red and white fire hydrant. is referring to bottom left.']"
7,7,1,COCO_val2014_000000359843.jpg,47,Solid red,2,full_sample,1556323368876,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A blue fire hydrant.,bottom left,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",bottom right,top left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A blue fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: A blue fire hydrant.? ASSISTANT: top left</s></s>', 'USER: wrong, A blue fire hydrant. is referring to bottom right.']"
8,8,2,COCO_val2014_000000068740.jpg,47,Blue top,2,full_sample,1556323377779,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A blue fire hydrant.,bottom right,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",top left,top left,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: A blue fire hydrant.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A blue fire hydrant.? ASSISTANT: top left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000359843.jpg,47,Solid red,2,full_sample,1556323388760,target,True,"['COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg', 'COCO_val2014_000000068740.jpg']",A blue fire hydrant.,bottom left,"['COCO_val2014_000000068740.jpg', 'COCO_val2014_000000453390.jpg', 'COCO_val2014_000000483941.jpg', 'COCO_val2014_000000359843.jpg']",bottom right,top left,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: A blue fire hydrant.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: A blue fire hydrant.? ASSISTANT: top left</s></s>', 'USER: wrong, A blue fire hydrant. is referring to bottom right.']"
