,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000271177.jpg,48,It's the picture of the bike on the white sidewalk,10,full_sample,1556321607587,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,top right,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000142537.jpg,48,"ItIt's It, s tIt', s te hIt's the picture with teh tree driectly behind it",15,full_sample,1556321665642,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom left,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",top left,bottom right,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 2', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to top left.']"
2,2,0,COCO_val2014_000000566249.jpg,48,the one with the houses behind it,7,full_sample,1556321691512,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom right,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",bottom left,top left,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: top left</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to bottom left.']"
3,3,0,COCO_val2014_000000264121.jpg,48,The blue sky is in the background,7,full_sample,1556321722788,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,top left,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",top right,bottom left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to top right.']"
4,4,1,COCO_val2014_000000271177.jpg,48,The white sidewalk,3,full_sample,1556321736750,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,top right,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",bottom right,top right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: top right</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to bottom right.']"
5,5,1,COCO_val2014_000000142537.jpg,48,The tree directly behind the bike,6,full_sample,1556321751303,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom left,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",top left,bottom right,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to top left.']"
6,6,1,COCO_val2014_000000264121.jpg,48,The blue sky,3,full_sample,1556321770065,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,top left,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",top right,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: top left</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to top right.']"
7,7,1,COCO_val2014_000000566249.jpg,48,The homes,2,full_sample,1556321783577,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom right,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",bottom left,top right,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: top right</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to bottom left.']"
8,8,2,COCO_val2014_000000142537.jpg,48,The single tree,3,full_sample,1556321796782,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom left,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",top left,bottom left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to top left.']"
9,9,2,COCO_val2014_000000566249.jpg,48,The homes,2,full_sample,1556321805796,target,True,"['COCO_val2014_000000264121.jpg', 'COCO_val2014_000000271177.jpg', 'COCO_val2014_000000142537.jpg', 'COCO_val2014_000000566249.jpg']",A motorcycle parked on the street.,bottom right,"['COCO_val2014_000000142537.jpg', 'COCO_val2014_000000264121.jpg', 'COCO_val2014_000000566249.jpg', 'COCO_val2014_000000271177.jpg']",bottom left,top left,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: A motorcycle parked on the street.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A motorcycle parked on the street.? ASSISTANT: top left</s></s>', 'USER: wrong, A motorcycle parked on the street. is referring to bottom left.']"
