,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000198625.jpg,63,person with purple shirt and yellow striped tie.,8,full_sample,1556315209155,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",bottom left,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The tie is blue and white."" is referring to top right.']"
1,1,0,COCO_val2014_000000572850.jpg,63,person with black coat and square tie.,7,full_sample,1556315242671,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",top right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",top left,top right,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is striped, with a mix of dark and light colors."" is referring to top left.']"
2,2,0,COCO_val2014_000000093670.jpg,63,perosn with brown coat and brown tie.,7,full_sample,1556315268789,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",top left,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",bottom left,bottom right,"['\nRound 3', '\nTarget: top left. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000134807.jpg,63,person with yellow shirt and a tag.,7,full_sample,1556315294446,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",bottom right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",bottom right,top right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to bottom right.']"
4,4,1,COCO_val2014_000000572850.jpg,63,black coat and square tie.,5,full_sample,1556315313309,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",top right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",top left,top right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to top left.']"
5,5,1,COCO_val2014_000000198625.jpg,63,purple coat yellow striped tie.,5,full_sample,1556315337506,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",bottom left,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",top right,top left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to top right.']"
6,6,1,COCO_val2014_000000134807.jpg,63,yellow shirt with tag.,4,full_sample,1556315354932,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",bottom right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",bottom right,top right,"['\nRound 7', '\nTarget: bottom right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to bottom right.']"
7,7,1,COCO_val2014_000000093670.jpg,63,brown shirt and brown tie.,5,full_sample,1556315375915,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",top left,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",bottom left,top right,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to bottom left.']"
8,8,2,COCO_val2014_000000134807.jpg,63,yellow shirt and tag.,4,full_sample,1556315392352,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",bottom right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",bottom right,top right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to bottom right.']"
9,9,2,COCO_val2014_000000572850.jpg,63,black coat with square tie.,5,full_sample,1556315410392,target,True,"['COCO_val2014_000000093670.jpg', 'COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000134807.jpg']","""The tie is blue and white, with a subtle pattern.""",top right,"['COCO_val2014_000000572850.jpg', 'COCO_val2014_000000198625.jpg', 'COCO_val2014_000000093670.jpg', 'COCO_val2014_000000134807.jpg']",top left,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: ""The tie is blue and white, with a subtle pattern.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: ""The tie is blue and white, with a subtle pattern.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The tie is blue and white, with a subtle pattern."" is referring to top left.']"
