,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000363922.jpg,64,There is a star above the guy,7,full_sample,1555375000521,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top left,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Congratulations on your wedding day!"" is referring to top left.']"
1,1,0,COCO_val2014_000000350855.jpg,64,blow out the candles in the cake,7,full_sample,1555375031969,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",bottom left,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",top right,top left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to top right.']"
2,2,0,COCO_val2014_000000182170.jpg,64,Standing in front tv,4,full_sample,1555375054374,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",bottom right,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",bottom left,top right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000447854.jpg,64,wedding cake,2,full_sample,1555375072018,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top right,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to bottom right.']"
4,4,1,COCO_val2014_000000182170.jpg,64,standing in front tv,4,full_sample,1555375087552,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",bottom right,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to bottom left.']"
5,5,1,COCO_val2014_000000447854.jpg,64,wedding cake,2,full_sample,1555375099383,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top right,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",bottom right,bottom left,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to bottom right.']"
6,6,1,COCO_val2014_000000350855.jpg,64,blow out the candles in the cake,7,full_sample,1555375119206,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",bottom left,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",top right,bottom right,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to top right.']"
7,7,1,COCO_val2014_000000363922.jpg,64,star above the guy,4,full_sample,1555375134253,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top left,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",top left,top right,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to top left.']"
8,8,2,COCO_val2014_000000447854.jpg,64,wedding cake,2,full_sample,1555375145205,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top right,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to bottom right.']"
9,9,2,COCO_val2014_000000363922.jpg,64,star above the guy,4,full_sample,1555375157168,target,True,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000447854.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg']","""Congratulations on your wedding day! You're surrounded by loved ones celebrating your special day.""",top left,"['COCO_val2014_000000363922.jpg', 'COCO_val2014_000000350855.jpg', 'COCO_val2014_000000182170.jpg', 'COCO_val2014_000000447854.jpg']",top left,bottom right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Congratulations on your wedding day! You\'re surrounded by loved ones celebrating your special day."" is referring to top left.']"
