,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000315939.jpg,65,a man and a woman standing by a bench,9,pilot0,1555354000997,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom right,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A person sitting on a bench. is referring to bottom left.']"
1,1,0,COCO_val2014_000000248382.jpg,65,woman in an orange sari sitting on a bench,9,pilot0,1555354022068,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",top right,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",top left,bottom left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to top left.']"
2,2,0,COCO_val2014_000000388398.jpg,65,woman in orange sari,4,pilot0,1555354037828,distr2,False,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom left,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",top right,top left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: top left</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to top right.']"
3,3,0,COCO_val2014_000000504977.jpg,65,African-American woman on bench,4,pilot0,1555354062979,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",top left,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",bottom right,top right,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: top right</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to bottom right.']"
4,4,1,COCO_val2014_000000315939.jpg,65,man and woman standing,4,pilot0,1555354081244,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom right,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to bottom left.']"
5,5,1,COCO_val2014_000000388398.jpg,65,2 children sitting on a bench,6,pilot0,1555354097799,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom left,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",top right,bottom left,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to top right.']"
6,6,1,COCO_val2014_000000248382.jpg,65,orange sari,2,pilot0,1555354111900,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",top right,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",top left,top right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: top right</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to top left.']"
7,7,1,COCO_val2014_000000504977.jpg,65,old woman with purse,4,pilot0,1555354137500,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",top left,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",bottom right,top left,"['\nRound 8', '\nTarget: top left. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: top left</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to bottom right.']"
8,8,2,COCO_val2014_000000388398.jpg,65,children,1,pilot0,1555354148733,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom left,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",top right,bottom right,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 9', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to top right.']"
9,9,2,COCO_val2014_000000315939.jpg,65,man + woman,3,pilot0,1555354161268,target,True,"['COCO_val2014_000000504977.jpg', 'COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg']","A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.",bottom right,"['COCO_val2014_000000248382.jpg', 'COCO_val2014_000000388398.jpg', 'COCO_val2014_000000315939.jpg', 'COCO_val2014_000000504977.jpg']",bottom left,top right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face.? ASSISTANT: top right</s></s>', 'USER: wrong, A person sitting on a bench, wearing a hat and sunglasses, with a smile on their face. is referring to bottom left.']"
