,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000514518.jpg,66,"Lots of snow, skiier looks small going, going downhill",9,full_sample,1556314845594,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,bottom left,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000465489.jpg,66,skiing downhill from the left,5,full_sample,1556314877306,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,bottom right,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",top right,bottom right,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to top right.']"
2,2,0,COCO_val2014_000000290602.jpg,66,snowboarder doing a jump,4,full_sample,1556314896066,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,top right,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom left,top right,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: top right</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to bottom left.']"
3,3,0,COCO_val2014_000000043314.jpg,66,back of skiis are in the snow,7,full_sample,1556314915874,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,top left,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",top left,bottom left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to top left.']"
4,4,1,COCO_val2014_000000290602.jpg,66,jumping snowboarder,2,full_sample,1556314928162,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,top right,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to bottom left.']"
5,5,1,COCO_val2014_000000043314.jpg,66,skiier has back of skiis in the snow,8,full_sample,1556314953650,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,top left,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",top left,bottom left,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to top left.']"
6,6,1,COCO_val2014_000000514518.jpg,66,"bright, skiier going downhill lots of snow",7,full_sample,1556314978803,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,bottom left,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: bottom left. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: top left</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to bottom right.']"
7,7,1,COCO_val2014_000000465489.jpg,66,"down hill from the left, no trees",7,full_sample,1556315003635,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,bottom right,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",top right,bottom right,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to top right.']"
8,8,2,COCO_val2014_000000290602.jpg,66,airborne with snowboard,3,full_sample,1556315017693,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,top right,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom left,top right,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: top right</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to bottom left.']"
9,9,2,COCO_val2014_000000514518.jpg,66,small skiier going downhill,4,full_sample,1556315033100,target,True,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg', 'COCO_val2014_000000465489.jpg']",Skier going downhill on a snowy mountain.,bottom left,"['COCO_val2014_000000043314.jpg', 'COCO_val2014_000000465489.jpg', 'COCO_val2014_000000290602.jpg', 'COCO_val2014_000000514518.jpg']",bottom right,bottom left,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: Skier going downhill on a snowy mountain.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: Skier going downhill on a snowy mountain.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skier going downhill on a snowy mountain. is referring to bottom right.']"
