,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000199442.jpg,67,black swimsuit white board,4,full_sample,1556315850910,distr1,False,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",bottom right,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",top right,bottom right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""Surfer riding a wave."" is referring to top right.']"
1,1,0,COCO_val2014_000000483358.jpg,67,blue ring around white surf board,6,full_sample,1556315878197,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",bottom left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",top left,top right,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: top right</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to top left.']"
2,2,0,COCO_val2014_000000485212.jpg,67,surfer far away from the camera,6,full_sample,1556315923409,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",top right,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",bottom left,top left,"['\nRound 3', '\nTarget: top right. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: top left</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to bottom left.']"
3,3,0,COCO_val2014_000000423113.jpg,67,white shirt,2,full_sample,1556315941402,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",top left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to bottom right.']"
4,4,1,COCO_val2014_000000483358.jpg,67,surfer with no shirt,4,full_sample,1556315960129,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",bottom left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",top left,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: top left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000199442.jpg,67,black shirt riding wave sideways,5,full_sample,1556315992829,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",bottom right,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",top right,top left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: top left</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to top right.']"
6,6,1,COCO_val2014_000000423113.jpg,67,white shirt,2,full_sample,1556316010857,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",top left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",bottom right,top right,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: top right</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to bottom right.']"
7,7,1,COCO_val2014_000000485212.jpg,67,surfer far away from camera,5,full_sample,1556316028859,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",top right,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",bottom left,bottom right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to bottom left.']"
8,8,2,COCO_val2014_000000423113.jpg,67,white shirt,2,full_sample,1556316050281,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",top left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",bottom right,bottom left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 9', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to bottom right.']"
9,9,2,COCO_val2014_000000483358.jpg,67,surfer with no shirt,4,full_sample,1556316069033,target,True,"['COCO_val2014_000000423113.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg']","Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.",bottom left,"['COCO_val2014_000000483358.jpg', 'COCO_val2014_000000199442.jpg', 'COCO_val2014_000000485212.jpg', 'COCO_val2014_000000423113.jpg']",top left,bottom right,"['\nRound 10', '\nTarget: bottom left. Message: ASSISTANT: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 10', '\nWhich image is this message referring to: Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Surfer riding a wave, wearing a wetsuit, and balancing on a surfboard. is referring to top left.']"
