,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000391199.jpg,70,Man in a hat on a phone,7,full_sample,1556317543115,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the top right is talking on his phone.""",top right,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",top left,top right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: ""The man in the top right is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: ""The man in the top right is talking on his phone.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The man in the top right is talking on his phone."" is referring to top left.']"
1,1,0,COCO_val2014_000000297578.jpg,70,man smoking,2,full_sample,1556317555389,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the bottom left is talking on his phone.""",bottom left,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",bottom right,bottom left,"['\nRound 2', '\nTarget: bottom left. Message: ASSISTANT: ""The man in the bottom left is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: ""The man in the bottom left is talking on his phone.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The man in the bottom left is looking at his phone."" is referring to bottom right.']"
2,2,0,COCO_val2014_000000386089.jpg,70,man in glasses no hat,5,full_sample,1556317577741,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the bottom right is talking on his phone.""",bottom right,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",bottom left,bottom right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: ""The man in the bottom right is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""The man in the bottom right is talking on his phone.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The man in the bottom right is talking on his phone."" is referring to bottom left.']"
3,3,0,COCO_val2014_000000059567.jpg,70,black and white man,4,full_sample,1556317593984,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the top left is talking on his phone.""",top left,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",top right,top left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: ""The man in the top left is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: ""The man in the top left is talking on his phone.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The man in the top left is talking on his phone."" is referring to top right.']"
4,4,1,COCO_val2014_000000386089.jpg,70,glasses no hat,3,full_sample,1556317607236,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the bottom right is talking on his phone.""",bottom right,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",bottom left,bottom right,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: ""The man in the bottom right is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""The man in the bottom right is talking on his phone.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The man in the bottom right is talking on his phone."" is referring to bottom left.']"
5,5,1,COCO_val2014_000000059567.jpg,70,black and white,3,full_sample,1556317620746,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the top left is talking on his phone.""",top left,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",top right,top left,"['\nRound 6', '\nTarget: top left. Message: ASSISTANT: ""The man in the top left is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 6', '\nWhich image is this message referring to: ""The man in the top left is talking on his phone.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The man in the top left is talking on his phone."" is referring to top right.']"
6,6,1,COCO_val2014_000000391199.jpg,70,hat,1,full_sample,1556317630414,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the top right is talking on his phone.""",top right,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",top left,top right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: ""The man in the top right is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 7', '\nWhich image is this message referring to: ""The man in the top right is talking on his phone.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The man in the top right is talking on his phone."" is referring to top left.']"
7,7,1,COCO_val2014_000000297578.jpg,70,smoking,1,full_sample,1556317640901,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the bottom left is talking on his phone.""",bottom left,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",bottom right,bottom left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: ""The man in the bottom left is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: ""The man in the bottom left is talking on his phone.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The man in the bottom left is talking on his phone."" is referring to bottom right.']"
8,8,2,COCO_val2014_000000386089.jpg,70,glasses no hat,3,full_sample,1556317655443,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the bottom right is talking on his phone.""",bottom right,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",bottom left,bottom right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: ""The man in the bottom right is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: ""The man in the bottom right is talking on his phone.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The man in the bottom right is talking on his phone."" is referring to bottom left.']"
9,9,2,COCO_val2014_000000059567.jpg,70,black and white,3,full_sample,1556317667666,target,True,"['COCO_val2014_000000059567.jpg', 'COCO_val2014_000000391199.jpg', 'COCO_val2014_000000297578.jpg', 'COCO_val2014_000000386089.jpg']","""The man in the top left is talking on his phone.""",top left,"['COCO_val2014_000000391199.jpg', 'COCO_val2014_000000059567.jpg', 'COCO_val2014_000000386089.jpg', 'COCO_val2014_000000297578.jpg']",top right,top left,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: ""The man in the top left is talking on his phone.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: ""The man in the top left is talking on his phone.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The man in the top left is talking on his phone."" is referring to top right.']"
