,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000574666.jpg,82,one foot on board,4,full_sample,1555374653972,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",top left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom left,bottom left,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener correctly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000285314.jpg,82,"on board, one arm up",5,full_sample,1555374682455,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",top right,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",top right,bottom left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to top right.']"
2,2,0,COCO_val2014_000000050326.jpg,82,beach,1,full_sample,1555374697804,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",bottom left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom right,top right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 3', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: top right</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to bottom right.']"
3,3,0,COCO_val2014_000000083277.jpg,82,in air,2,full_sample,1555374713035,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",bottom right,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",top left,bottom right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to top left.']"
4,4,1,COCO_val2014_000000050326.jpg,82,beach,1,full_sample,1555374728782,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",bottom left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom right,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: top left</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to bottom right.']"
5,5,1,COCO_val2014_000000285314.jpg,82,"on board, one arm up",5,full_sample,1555374750861,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",top right,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",top right,bottom right,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to top right.']"
6,6,1,COCO_val2014_000000574666.jpg,82,one foot on board,4,full_sample,1555374774821,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",top left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom left,top right,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: top right</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to bottom left.']"
7,7,1,COCO_val2014_000000083277.jpg,82,in air,2,full_sample,1555374789046,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",bottom right,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to top left.']"
8,8,2,COCO_val2014_000000050326.jpg,82,beach,1,full_sample,1555374803507,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",bottom left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: top left</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to bottom right.']"
9,9,2,COCO_val2014_000000574666.jpg,82,one foot on board,4,full_sample,1555374818063,target,True,"['COCO_val2014_000000574666.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000050326.jpg', 'COCO_val2014_000000083277.jpg']","Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.",top left,"['COCO_val2014_000000083277.jpg', 'COCO_val2014_000000285314.jpg', 'COCO_val2014_000000574666.jpg', 'COCO_val2014_000000050326.jpg']",bottom left,bottom right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder on a sidewalk, wearing a helmet and knee pads, performing a trick. is referring to bottom left.']"
