,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000142890.jpg,83,black cat blocking single monitor,5,pilot0,1555355711268,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""Studying the gray cat on the computer screen.""",bottom right,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: ""Studying the gray cat on the computer screen.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 1', '\nWhich image is this message referring to: ""Studying the gray cat on the computer screen.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000040842.jpg,83,cat on shelf above monitor,5,pilot0,1555355728653,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat perched on the shelf.""",top left,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",bottom left,top left,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: ""The cat perched on the shelf.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: ""The cat perched on the shelf.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The cat sitting on the shelf."" is referring to bottom left.']"
2,2,0,COCO_val2014_000000232383.jpg,83,cat behind monitor,3,pilot0,1555355745450,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat sitting on the desk.""",bottom left,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",top left,bottom right,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: ""The cat sitting on the desk.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 3', '\nWhich image is this message referring to: ""The cat sitting on the desk.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The cat sitting on the desk."" is referring to top left.']"
3,3,0,COCO_val2014_000000375509.jpg,83,laptop and monitor with cat in front of monitor,9,pilot0,1555355773576,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat walking on the desk.""",top right,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",top right,top right,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: ""The cat walking on the desk.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 4', '\nWhich image is this message referring to: ""The cat walking on the desk.""? ASSISTANT: top right</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000142890.jpg,83,black cat in front of monitor,6,pilot0,1555355795466,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat looking at the computer screen.""",bottom right,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",bottom right,bottom left,"['\nRound 5', '\nTarget: bottom right. Message: ASSISTANT: ""The cat looking at the computer screen.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 5', '\nWhich image is this message referring to: ""The cat looking at the computer screen.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The cat looking at the screen."" is referring to bottom right.']"
5,5,1,COCO_val2014_000000232383.jpg,83,cat behind monitor,3,pilot0,1555355810589,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The black cat sitting on the desk.""",bottom left,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",top left,bottom right,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: ""The black cat sitting on the desk.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: ""The black cat sitting on the desk.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The cat sitting on the desk."" is referring to top left.']"
6,6,1,COCO_val2014_000000040842.jpg,83,cat on shelf above monitor,5,pilot0,1555355832931,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The gray cat on the shelf.""",top left,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",bottom left,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: ""The gray cat on the shelf.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: ""The gray cat on the shelf.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The gray cat on the shelf."" is referring to bottom left.']"
7,7,1,COCO_val2014_000000375509.jpg,83,laptop and monitor,3,pilot0,1555355851521,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat walking on the desk.""",top right,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",top right,top right,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: ""The cat walking on the desk.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: ""The cat walking on the desk.""? ASSISTANT: top right</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000232383.jpg,83,cat behind,2,pilot0,1555355866989,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The black cat sitting on the desk.""",bottom left,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",top left,bottom right,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: ""The black cat sitting on the desk.""</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: ""The black cat sitting on the desk.""? ASSISTANT: bottom right</s></s>', 'USER: wrong, ""The cat sitting on the desk."" is referring to top left.']"
9,9,2,COCO_val2014_000000142890.jpg,83,black cat in front,4,pilot0,1555355883158,target,True,"['COCO_val2014_000000040842.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000232383.jpg', 'COCO_val2014_000000142890.jpg']","""The cat looking at the screen.""",bottom right,"['COCO_val2014_000000232383.jpg', 'COCO_val2014_000000375509.jpg', 'COCO_val2014_000000040842.jpg', 'COCO_val2014_000000142890.jpg']",bottom right,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""The cat looking at the screen.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: ""The cat looking at the screen.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
