,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000136400.jpg,86,Stop sign that is leaning to the right in the picture.,11,full_sample,1555373436620,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top left,bottom right,"['\nRound 1', '\nTarget: bottom right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 1', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to top left.']"
1,1,0,COCO_val2014_000000000724.jpg,86,Stop sign where STOP is upside down.,7,full_sample,1555373456483,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top right,top left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: top left</s></s>', 'USER: wrong, One way sign with a sticker on it. is referring to top right.']"
2,2,0,COCO_val2014_000000321308.jpg,86,graphity on the STOP sign,5,full_sample,1555373482735,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom left,bottom left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000098268.jpg,86,ONE WAY,2,full_sample,1555373494649,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom right,bottom left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to bottom right.']"
4,4,1,COCO_val2014_000000321308.jpg,86,writing on STOP SIGN,4,full_sample,1555373510456,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom left,top left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: top left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to bottom left.']"
5,5,1,COCO_val2014_000000136400.jpg,86,STOP leaning to the right,5,full_sample,1555373530712,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top left,bottom left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 6', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to top left.']"
6,6,1,COCO_val2014_000000098268.jpg,86,ONE WAY,2,full_sample,1555373541076,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom right,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: top left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to bottom right.']"
7,7,1,COCO_val2014_000000000724.jpg,86,Stop sign where STOP is upside down.,7,full_sample,1555373553017,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top right,bottom left,"['\nRound 8', '\nTarget: top right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 8', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to top right.']"
8,8,2,COCO_val2014_000000098268.jpg,86,ONE WAY,2,full_sample,1555373562505,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: top left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: top left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to bottom right.']"
9,9,2,COCO_val2014_000000000724.jpg,86,Upside down STOP,3,full_sample,1555373574474,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,top right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top right,bottom left,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Stop sign with a sticker on it. is referring to top right.']"
10,10,2,COCO_val2014_000000136400.jpg,86,FASTEN SEAT BELTS,3,full_sample,1555373589522,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom right,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",top left,top left,"['\nRound 11', '\nTarget: bottom right. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 11', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: top left</s></s>', 'USER: correct.']"
11,11,2,COCO_val2014_000000321308.jpg,86,writing on the STOP sign,5,full_sample,1555373606101,target,True,"['COCO_val2014_000000098268.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000136400.jpg']",Stop sign with a sticker on it.,bottom left,"['COCO_val2014_000000136400.jpg', 'COCO_val2014_000000000724.jpg', 'COCO_val2014_000000321308.jpg', 'COCO_val2014_000000098268.jpg']",bottom left,bottom left,"['\nRound 12', '\nTarget: bottom left. Message: ASSISTANT: Stop sign with a sticker on it.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 12', '\nWhich image is this message referring to: Stop sign with a sticker on it.? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
