,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000476258.jpg,89,has a yellow and black outfit,6,pilot0,1555354134611,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,bottom left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",bottom right,bottom right,"['\nRound 1', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 1', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000251857.jpg,89,white pants with a red stripe,6,pilot0,1555354152904,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,top left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",top right,bottom right,"['\nRound 2', '\nTarget: top left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 2', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to top right.']"
2,2,0,COCO_val2014_000000017003.jpg,89,black outfit with a hat and glasses skating towards the right,11,pilot0,1555354182986,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,bottom right,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",top left,top right,"['\nRound 3', '\nTarget: bottom right. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: top right</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to top left.']"
3,3,0,COCO_val2014_000000135785.jpg,89,doing a kick alone in the scene,7,pilot0,1555354206988,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,top right,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",bottom left,top left,"['\nRound 4', '\nTarget: top right. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: top left</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to bottom left.']"
4,4,1,COCO_val2014_000000251857.jpg,89,pants with red stripe,4,pilot0,1555354219384,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,top left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",top right,bottom left,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to top right.']"
5,5,1,COCO_val2014_000000476258.jpg,89,yellow and black,3,pilot0,1555354229608,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,bottom left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",bottom right,top right,"['\nRound 6', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: top right</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to bottom right.']"
6,6,1,COCO_val2014_000000135785.jpg,89,kick alone,2,pilot0,1555354241808,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,top right,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",bottom left,bottom right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to bottom left.']"
7,7,1,COCO_val2014_000000017003.jpg,89,hat right,2,pilot0,1555354257894,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,bottom right,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom left</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to top left.']"
8,8,2,COCO_val2014_000000476258.jpg,89,yellow,1,pilot0,1555354268388,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,bottom left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: top left</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to bottom right.']"
9,9,2,COCO_val2014_000000251857.jpg,89,red,1,pilot0,1555354278198,target,True,"['COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg', 'COCO_val2014_000000017003.jpg']",Skateboarder performing a trick.,top left,"['COCO_val2014_000000017003.jpg', 'COCO_val2014_000000251857.jpg', 'COCO_val2014_000000135785.jpg', 'COCO_val2014_000000476258.jpg']",top right,bottom right,"['\nRound 10', '\nTarget: top left. Message: ASSISTANT: Skateboarder performing a trick.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 10', '\nWhich image is this message referring to: Skateboarder performing a trick.? ASSISTANT: bottom right</s></s>', 'USER: wrong, Skateboarder performing a trick. is referring to top right.']"
