,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000281500.jpg,92,the women with the white bow ready to swing,9,full_sample,1556323074551,distr1,False,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top left image is about to hit the ball.""",top left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top right,top left,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: ""The player in the top left image is about to hit the ball.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""The player in the top left image is about to hit the ball.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The player in the top left image is about to hit the ball."" is referring to top right.']"
1,1,0,COCO_val2014_000000428254.jpg,92,The man facing forward who is hitting the ball,9,full_sample,1556323101228,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top right image is preparing to return the ball.""",top right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top left,top right,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: ""The player in the top right image is preparing to return the ball.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: ""The player in the top right image is preparing to return the ball.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The player in the top right image is preparing to return the ball."" is referring to top left.']"
2,2,0,COCO_val2014_000000194903.jpg,92,The woman in the read shirt in a squat position,10,full_sample,1556323124238,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom left image is about to serve the ball.""",bottom left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom left,bottom left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: ""The player in the bottom left image is about to serve the ball.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 3', '\nWhich image is this message referring to: ""The player in the bottom left image is about to serve the ball.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
3,3,0,COCO_val2014_000000567276.jpg,92,the woman with one feet in the air and the ball is coming towards her,15,full_sample,1556323153784,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom right image is about to hit the ball.""",bottom right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom right,bottom right,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: ""The player in the bottom right image is about to hit the ball.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 4', '\nWhich image is this message referring to: ""The player in the bottom right image is about to hit the ball.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
4,4,1,COCO_val2014_000000194903.jpg,92,"the red shirt woman in squat positio, position",8,full_sample,1556323169682,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom left image is about to return the ball.""",bottom left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom left,bottom left,"['\nRound 5', '\nTarget: bottom left. Message: ASSISTANT: ""The player in the bottom left image is about to return the ball.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 5', '\nWhich image is this message referring to: ""The player in the bottom left image is about to return the ball.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000428254.jpg,92,the man with the cap turned to the back,9,full_sample,1556323185781,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top right image is preparing to return the ball.""",top right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top left,top right,"['\nRound 6', '\nTarget: top right. Message: ASSISTANT: ""The player in the top right image is preparing to return the ball.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: ""The player in the top right image is preparing to return the ball.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The player in the top right image is preparing to return the ball."" is referring to top left.']"
6,6,1,COCO_val2014_000000281500.jpg,92,"the woman with white shirt, white sweat band and hair in a bow",13,full_sample,1556323215823,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top left image is about to hit the ball.""",top left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top right,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: ""The player in the top left image is about to hit the ball.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 7', '\nWhich image is this message referring to: ""The player in the top left image is about to hit the ball.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The player in the top left image is about to hit the ball."" is referring to top right.']"
7,7,1,COCO_val2014_000000567276.jpg,92,the red cap girl,4,full_sample,1556323235046,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom right image is about to hit the ball.""",bottom right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom right,bottom right,"['\nRound 8', '\nTarget: bottom right. Message: ASSISTANT: ""The player in the bottom right image is about to hit the ball.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 8', '\nWhich image is this message referring to: ""The player in the bottom right image is about to hit the ball.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
8,8,2,COCO_val2014_000000194903.jpg,92,squat girl,2,full_sample,1556323249194,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom left image is about to serve the ball.""",bottom left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom left,bottom left,"['\nRound 9', '\nTarget: bottom left. Message: ASSISTANT: ""The player in the bottom left image is about to serve the ball.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: ""The player in the bottom left image is about to serve the ball.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000567276.jpg,92,red cap girl,3,full_sample,1556323260737,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom right image is about to return the ball.""",bottom right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom right,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: ""The player in the bottom right image is about to return the ball.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 10', '\nWhich image is this message referring to: ""The player in the bottom right image is about to return the ball.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
10,10,2,COCO_val2014_000000428254.jpg,92,man with white cap,4,full_sample,1556323275387,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top right image is about to return the ball.""",top right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top left,top right,"['\nRound 11', '\nTarget: top right. Message: ASSISTANT: ""The player in the top right image is about to return the ball.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 11', '\nWhich image is this message referring to: ""The player in the top right image is about to return the ball.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The player in the top right image is preparing to return the ball."" is referring to top left.']"
11,11,2,COCO_val2014_000000281500.jpg,92,woman with white hair bow,5,full_sample,1556323290432,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top left image is about to hit the ball.""",top left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top right,top left,"['\nRound 12', '\nTarget: top left. Message: ASSISTANT: ""The player in the top left image is about to hit the ball.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 12', '\nWhich image is this message referring to: ""The player in the top left image is about to hit the ball.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The player in the top left image is about to hit the ball."" is referring to top right.']"
12,12,3,COCO_val2014_000000428254.jpg,92,man with white cap,4,full_sample,1556323309462,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top right image is preparing to return the ball.""",top right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top left,top right,"['\nRound 13', '\nTarget: top right. Message: ASSISTANT: ""The player in the top right image is preparing to return the ball.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 13', '\nWhich image is this message referring to: ""The player in the top right image is preparing to return the ball.""? ASSISTANT: top right</s></s>', 'USER: wrong, ""The player in the top right image is preparing to return the ball."" is referring to top left.']"
13,13,3,COCO_val2014_000000567276.jpg,92,red cap,2,full_sample,1556323319871,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom right image is about to hit the ball.""",bottom right,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom right,bottom right,"['\nRound 14', '\nTarget: bottom right. Message: ASSISTANT: ""The player in the bottom right image is about to hit the ball.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 14', '\nWhich image is this message referring to: ""The player in the bottom right image is about to hit the ball.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
14,14,3,COCO_val2014_000000194903.jpg,92,squat girl,2,full_sample,1556323329885,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the bottom left image is about to serve the ball.""",bottom left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",bottom left,bottom left,"['\nRound 15', '\nTarget: bottom left. Message: ASSISTANT: ""The player in the bottom left image is about to serve the ball.""</s></s>', 'USER: the listener correctly answered bottom left.']","['\nRound 15', '\nWhich image is this message referring to: ""The player in the bottom left image is about to serve the ball.""? ASSISTANT: bottom left</s></s>', 'USER: correct.']"
15,15,3,COCO_val2014_000000281500.jpg,92,white bow,2,full_sample,1556323340382,target,True,"['COCO_val2014_000000281500.jpg', 'COCO_val2014_000000428254.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']","""The player in the top left image is about to hit the ball.""",top left,"['COCO_val2014_000000428254.jpg', 'COCO_val2014_000000281500.jpg', 'COCO_val2014_000000194903.jpg', 'COCO_val2014_000000567276.jpg']",top right,top left,"['\nRound 16', '\nTarget: top left. Message: ASSISTANT: ""The player in the top left image is about to hit the ball.""</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 16', '\nWhich image is this message referring to: ""The player in the top left image is about to hit the ball.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The player in the top left image is about to hit the ball."" is referring to top right.']"
