,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000178982.jpg,98,"Street sign visible on top that is green, opening of tunnel/bridge",11,full_sample,1556315011558,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,top left,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",bottom left,bottom right,"['\nRound 1', '\nTarget: top left. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A train station at night. is referring to bottom left.']"
1,1,0,COCO_val2014_000000013168.jpg,98,"side shot of a train but you cannot see the end of it, lampost in front",16,full_sample,1556315037391,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,top right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",bottom right,bottom left,"['\nRound 2', '\nTarget: top right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 2', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A train station at night. is referring to bottom right.']"
2,2,0,COCO_val2014_000000325666.jpg,98,"greenlight in front, mcdonalds in back",6,full_sample,1556315055592,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,bottom left,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",top left,bottom left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A train station at night. is referring to top left.']"
3,3,0,COCO_val2014_000000568961.jpg,98,"beginning of train with M on it, inside tunnel",9,full_sample,1556315075437,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,bottom right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",top right,top left,"['\nRound 4', '\nTarget: bottom right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: top left</s></s>', 'USER: wrong, A train station at night. is referring to top right.']"
4,4,1,COCO_val2014_000000178982.jpg,98,"Same as very first time, Green sign on top",9,full_sample,1556315097240,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,top left,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",bottom left,top right,"['\nRound 5', '\nTarget: top left. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 5', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: top right</s></s>', 'USER: wrong, A train station at night. is referring to bottom left.']"
5,5,1,COCO_val2014_000000568961.jpg,98,"Tunnel with M, Train*",4,full_sample,1556315114449,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,bottom right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",top right,bottom left,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 6', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom left</s></s>', 'USER: wrong, A train station at night. is referring to top right.']"
6,6,1,COCO_val2014_000000013168.jpg,98,"Side of Train with lammpost, white New York sign",9,full_sample,1556315131859,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,top right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",bottom right,top right,"['\nRound 7', '\nTarget: top right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered bottom right.']","['\nRound 7', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: top right</s></s>', 'USER: wrong, A train station at night. is referring to bottom right.']"
7,7,1,COCO_val2014_000000325666.jpg,98,"Green Stoplight in front, train to the left, mcdonalds in back",11,full_sample,1556315154421,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,bottom left,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",top left,bottom right,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 8', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A train station at night. is referring to top left.']"
8,8,2,COCO_val2014_000000013168.jpg,98,White New York sign,4,full_sample,1556315170261,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,top right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",bottom right,top left,"['\nRound 9', '\nTarget: top right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 9', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: top left</s></s>', 'USER: wrong, A train station at night. is referring to bottom right.']"
9,9,2,COCO_val2014_000000568961.jpg,98,"Train with M, Bronx Tour",5,full_sample,1556315186701,target,True,"['COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg', 'COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg']",A train station at night.,bottom right,"['COCO_val2014_000000325666.jpg', 'COCO_val2014_000000568961.jpg', 'COCO_val2014_000000178982.jpg', 'COCO_val2014_000000013168.jpg']",top right,bottom right,"['\nRound 10', '\nTarget: bottom right. Message: ASSISTANT: A train station at night.</s></s>', 'USER: the listener mistakenly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: A train station at night.? ASSISTANT: bottom right</s></s>', 'USER: wrong, A train station at night. is referring to top right.']"
