,trialNum,repNum,targetImg,context_id,msg,uttLength,iterationName,time,clickedObj,correct,spkr_trial_fns,spkr_msg,tgt_label_for_spkr,lsnr_trial_fns,tgt_label_for_lsnr,lsnr_pred,spkr_trial_record,lsnr_trial_record
0,0,0,COCO_val2014_000000515792.jpg,99,man in white shorts playing frisbee,6,full_sample,1556316707585,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the top right image is holding a white frisbee.""",top right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",top right,top right,"['\nRound 1', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is holding a white frisbee.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 1', '\nWhich image is this message referring to: ""The person in the top right image is holding a white frisbee.""? ASSISTANT: top right</s></s>', 'USER: correct.']"
1,1,0,COCO_val2014_000000289620.jpg,99,two guys playing paddle,4,full_sample,1556316727260,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the bottom right image is wearing a green hat.""",bottom right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",bottom right,bottom right,"['\nRound 2', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a green hat.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 2', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a green hat.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
2,2,0,COCO_val2014_000000536416.jpg,99,ladies learning to surf,4,full_sample,1556316752150,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the bottom left image is wearing a red shirt.""",bottom left,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",top left,bottom left,"['\nRound 3', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a red shirt.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 3', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a red shirt.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The person in the bottom left image is wearing a red shirt."" is referring to top left.']"
3,3,0,COCO_val2014_000000566049.jpg,99,lady holding yellow frisbee,4,full_sample,1556316772934,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the top left image is wearing a blue shirt.""",top left,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",bottom left,top left,"['\nRound 4', '\nTarget: top left. Message: ASSISTANT: ""The person in the top left image is wearing a blue shirt.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 4', '\nWhich image is this message referring to: ""The person in the top left image is wearing a blue shirt.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The person in the top left image is wearing a blue shirt."" is referring to bottom left.']"
4,4,1,COCO_val2014_000000515792.jpg,99,white shorts,2,full_sample,1556316790239,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the top right image is wearing a white shirt.""",top right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",top right,top right,"['\nRound 5', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a white shirt.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 5', '\nWhich image is this message referring to: ""The person in the top right image is wearing a white shirt.""? ASSISTANT: top right</s></s>', 'USER: correct.']"
5,5,1,COCO_val2014_000000289620.jpg,99,guys playing paddle,3,full_sample,1556316807638,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the bottom right image is wearing a black shirt.""",bottom right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",bottom right,bottom right,"['\nRound 6', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a black shirt.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 6', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a black shirt.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
6,6,1,COCO_val2014_000000566049.jpg,99,yellow frisbee,2,full_sample,1556316820344,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the top left image is wearing a yellow shirt.""",top left,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",bottom left,top left,"['\nRound 7', '\nTarget: top left. Message: ASSISTANT: ""The person in the top left image is wearing a yellow shirt.""</s></s>', 'USER: the listener mistakenly answered bottom left.']","['\nRound 7', '\nWhich image is this message referring to: ""The person in the top left image is wearing a yellow shirt.""? ASSISTANT: top left</s></s>', 'USER: wrong, ""The person in the top left image is wearing a yellow shirt."" is referring to bottom left.']"
7,7,1,COCO_val2014_000000536416.jpg,99,surf gals,2,full_sample,1556316832356,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the bottom left image is wearing a white shirt.""",bottom left,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",top left,bottom left,"['\nRound 8', '\nTarget: bottom left. Message: ASSISTANT: ""The person in the bottom left image is wearing a white shirt.""</s></s>', 'USER: the listener mistakenly answered top left.']","['\nRound 8', '\nWhich image is this message referring to: ""The person in the bottom left image is wearing a white shirt.""? ASSISTANT: bottom left</s></s>', 'USER: wrong, ""The person in the bottom left image is wearing a white shirt."" is referring to top left.']"
8,8,2,COCO_val2014_000000289620.jpg,99,paddle guys,2,full_sample,1556316846594,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the bottom right image is wearing a blue shirt.""",bottom right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",bottom right,bottom right,"['\nRound 9', '\nTarget: bottom right. Message: ASSISTANT: ""The person in the bottom right image is wearing a blue shirt.""</s></s>', 'USER: the listener correctly answered bottom right.']","['\nRound 9', '\nWhich image is this message referring to: ""The person in the bottom right image is wearing a blue shirt.""? ASSISTANT: bottom right</s></s>', 'USER: correct.']"
9,9,2,COCO_val2014_000000515792.jpg,99,white shorts,2,full_sample,1556316857905,target,True,"['COCO_val2014_000000566049.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000536416.jpg', 'COCO_val2014_000000289620.jpg']","""The person in the top right image is wearing a red shirt.""",top right,"['COCO_val2014_000000536416.jpg', 'COCO_val2014_000000515792.jpg', 'COCO_val2014_000000566049.jpg', 'COCO_val2014_000000289620.jpg']",top right,top right,"['\nRound 10', '\nTarget: top right. Message: ASSISTANT: ""The person in the top right image is wearing a red shirt.""</s></s>', 'USER: the listener correctly answered top right.']","['\nRound 10', '\nWhich image is this message referring to: ""The person in the top right image is wearing a red shirt.""? ASSISTANT: top right</s></s>', 'USER: correct.']"
